x_var,detock_lsh_p50,detock_lsh_p95,detock_lsh_p99,detock_fsh_p50,detock_fsh_p95,detock_fsh_p99,detock_mh_p50,detock_mh_p95,detock_mh_p99,detock_read_p50,detock_read_p95,detock_read_p99,detock_write_p50,detock_write_p95,detock_write_p99,slog_lsh_p50,slog_lsh_p95,slog_lsh_p99,slog_fsh_p50,slog_fsh_p95,slog_fsh_p99,slog_mh_p50,slog_mh_p95,slog_mh_p99,slog_read_p50,slog_read_p95,slog_read_p99,slog_write_p50,slog_write_p95,slog_write_p99,janus_lsh_p50,janus_lsh_p95,janus_lsh_p99,janus_fsh_p50,janus_fsh_p95,janus_fsh_p99,janus_mh_p50,janus_mh_p95,janus_mh_p99,janus_read_p50,janus_read_p95,janus_read_p99,janus_write_p50,janus_write_p95,janus_write_p99,calvin_lsh_p50,calvin_lsh_p95,calvin_lsh_p99,calvin_fsh_p50,calvin_fsh_p95,calvin_fsh_p99,calvin_mh_p50,calvin_mh_p95,calvin_mh_p99,calvin_read_p50,calvin_read_p95,calvin_read_p99,calvin_write_p50,calvin_write_p95,calvin_write_p99
400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.891129,33.7559397,54.90182935999999,,,,,,,,,,,,
500.0,7.7678405,14.281134699999987,56.52917557000001,145.277307,151.4356335,190.32094427999996,146.762906,155.743765,198.11098780000003,,,,,,,7.762601999999999,13.267909750000001,19.721536999999998,146.83315599999997,154.09281685,254.90340825000047,148.631549,159.99942155000002,306.2238348700001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
625.0,8.5888705,14.430499599999994,22.56077342999995,146.216191,154.31776569999997,171.51225232,147.753381,156.75541529999998,196.42677415000003,,,,,,,7.903134,15.703190349999996,48.41346696999986,146.491396,155.7556081,463.7909306799959,148.272414,160.3938002,499.51464480000016,,,,,,,170.0253385,337.87378480000007,982.6615121100001,,,,,,,,,,,,,,,,,,,,,,,,,,,
750.0,9.940163,18.120815999999998,34.687176999999785,144.618462,559.3181483999999,858.5580445199998,146.661713,557.466384,867.8776533200003,,,,,,,9.305768,15.614968000000001,25.672809099999956,147.423945,160.7300054,210.6270087199999,149.38264,163.6082495,212.54913345000014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
875.0,12.5683945,25.610694549999995,43.19495981000008,146.655486,185.63088604999976,306.31580138,150.42402750000002,189.52213534999976,298.54743415000104,,,,,,,11.51663,26.584739199999962,52.32571491999995,147.689493,160.29631329999998,256.25349405999924,150.736299,164.36480849999998,257.8054633200004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000.0,18.9444625,38.3967265,70.48031767000056,148.3205575,169.35556825,183.48663530000005,156.878368,173.73700569999997,186.63266292,,,,,,,20.600400999999998,44.7186685,70.1317890999968,151.243111,179.57761835,193.0232693400004,162.1381905,183.90212054999995,193.77952770000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1250.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148.086153,326.8632445,372.18574920000003,,,,,,,,,,,,,,,,,,,,,,,,,,,
1875.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157.81374399999999,338.506974,625.1637045800001,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,206.922494,289.715906,502.78028320000004,,,,,,,,,,,,,,,,,,,,,,,,,,,
3125.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152.271896,473.29494199999965,877.51731744,,,,,,,,,,,,,,,,,,,,,,,,,,,
3750.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.832578,713.0689857999997,1495.708554119999,,,,,,,,,,,,,,,,,,,,,,,,,,,
4375.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193.149517,285.79532244999996,892.7372403100001,,,,,,,,,,,,,,,,,,,,,,,,,,,
5000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212.9878195,266.792034,298.39342971,,,,,,,,,,,,,,,,,,,,,,,,,,,
