intensity,base_x,throughput,latency_p50,latency_p95,latency_p99,latency_p50_Short_Read_&_Write,latency_p95_Short_Read_&_Write,latency_p99_Short_Read_&_Write,throughput_Short_Read_&_Write,latency_p50_Short_Read-Only,latency_p95_Short_Read-Only,latency_p99_Short_Read-Only,throughput_Short_Read-Only,latency_p50_Large_Read-Only,latency_p95_Large_Read-Only,latency_p99_Large_Read-Only,throughput_Large_Read-Only,latency_p50_Insert-Only,latency_p95_Insert-Only,latency_p99_Insert-Only,throughput_Insert-Only,latency_p50_Delete-Only,latency_p95_Delete-Only,latency_p99_Delete-Only,throughput_Delete-Only,geo_dist
2,0.7,5212,48,624,738,43,394,669,1043,74,665,1308,1050,79,632,703,1041,45,623,690,1036,44,622,689,1042,30
2,0.6,4863,42,539,866,32,486,782,977,62,811,1433,973,66,539,822,975,36,528,811,965,36,529,810,973,40
2,0.5,4435,88,347,784,26,236,735,888,146,442,1408,892,150,327,784,886,143,303,775,888,143,308,772,881,50
2,0.4,5234,151,316,428,35,210,298,1044,157,383,534,1055,161,253,343,1043,152,231,335,1048,152,231,335,1043,60
2,0.3,4907,155,317,415,33,197,266,983,161,359,503,988,164,229,361,978,155,222,355,978,155,224,359,981,70
2,0.2,4619,158,316,350,49,182,203,923,166,341,376,931,166,196,225,919,156,182,323,918,156,182,323,928,80
2,0.1,4121,158,315,367,149,179,210,827,170,336,515,830,165,194,376,826,155,181,350,817,155,180,343,820,90
2,0.0,3888,159,313,341,150,179,197,774,197,336,366,779,166,193,219,779,156,180,315,777,156,180,314,780,100
5,1.0,3951,125,441,637,110,394,592,789,156,523,700,794,162,534,739,788,103,355,540,788,103,360,539,792,0
5,0.9,3732,110,526,1166,92,453,783,745,144,597,1370,751,152,588,1333,745,91,429,878,745,91,440,959,746,10
5,0.8,3427,109,816,1173,95,731,1010,685,158,864,1605,689,167,870,1544,686,98,764,1014,684,98,712,1022,683,20
5,0.7,3419,117,640,1175,81,501,1052,686,157,869,1666,685,165,812,1347,684,96,508,1065,685,95,515,1073,679,30
5,0.6,3541,136,527,921,80,399,798,709,170,693,1372,710,178,564,893,704,114,480,858,708,117,472,856,709,40
5,0.5,2644,133,1192,1940,68,606,1742,527,172,1637,3443,535,187,1239,1800,525,172,1188,1774,530,123,1163,1770,527,50
5,0.4,2824,181,790,1392,65,726,884,567,192,1390,1726,565,198,795,1008,563,184,778,965,567,184,778,949,562,60
5,0.3,2748,177,832,1392,55,747,874,553,187,1390,1720,550,193,837,915,549,177,821,888,550,176,819,894,546,70
5,0.2,2717,171,741,1271,60,656,815,539,206,1269,1566,549,188,729,855,541,169,712,834,542,169,712,836,546,80
5,0.1,2790,187,506,875,157,449,555,558,320,855,1035,562,203,507,631,557,181,482,567,555,181,479,572,559,90
5,0.0,2475,186,492,886,160,452,497,497,330,879,963,498,198,484,528,491,180,468,514,493,179,467,513,496,100
20,1.0,1455,195,1099,1327,202,1087,1313,291,28,769,1202,293,331,1260,2114,290,194,1009,1244,291,194,1002,1235,291,0
20,0.9,1430,245,869,1181,247,787,1139,287,37,619,1004,290,390,1100,1552,286,248,742,1096,284,243,732,1096,283,10
20,0.8,1401,219,988,1326,217,945,1214,278,21,797,1101,284,363,1187,1885,281,223,944,1178,276,223,951,1188,282,20
20,0.7,1343,238,1169,1525,227,1159,1580,268,56,854,1302,275,371,1296,2446,266,243,1150,1359,268,242,1150,1360,266,30
20,0.6,1362,249,1129,1438,224,1119,1418,270,121,845,1333,275,386,1324,2176,273,253,1073,1383,274,252,1094,1385,269,40
20,0.5,1290,273,1081,1459,252,1061,1427,257,48,670,1336,261,430,1275,2192,257,288,1073,1399,257,285,1058,1394,259,50
20,0.4,1296,298,1028,1324,247,972,1252,258,166,871,1316,260,429,1185,1976,259,313,928,1238,256,316,990,1242,262,60
20,0.3,1237,274,1029,1595,238,940,1459,246,120,875,1443,248,404,1303,2047,247,288,933,1323,248,291,934,1254,249,70
20,0.2,975,364,1563,1671,218,1500,1627,195,303,1501,1627,197,495,1612,1858,193,372,1574,1666,194,371,1573,1657,195,80
20,0.1,1182,272,1125,1428,235,1024,1347,236,199,1100,1425,240,376,1337,2021,234,280,1056,1315,237,278,1046,1294,235,90
20,0.0,935,582,1009,1361,424,746,918,189,597,1355,1574,190,619,831,1036,186,589,784,966,186,586,782,981,185,100
