intensity,base_x,throughput,latency_p50,latency_p95,latency_p99,latency_p50_Short_Read_&_Write,latency_p95_Short_Read_&_Write,latency_p99_Short_Read_&_Write,throughput_Short_Read_&_Write,latency_p50_Short_Read-Only,latency_p95_Short_Read-Only,latency_p99_Short_Read-Only,throughput_Short_Read-Only,latency_p50_Large_Read-Only,latency_p95_Large_Read-Only,latency_p99_Large_Read-Only,throughput_Large_Read-Only,latency_p50_Insert-Only,latency_p95_Insert-Only,latency_p99_Insert-Only,throughput_Insert-Only,latency_p50_Delete-Only,latency_p95_Delete-Only,latency_p99_Delete-Only,throughput_Delete-Only,geo_dist
20,0.9,1070,295,1084,1507,313,1009,1118,213,134,885,1068,216,402,1505,2072,213,312,1003,1082,213,302,994,1076,215,10
20,0.8,1067,294,990,1483,360,875,1007,213,134,820,915,218,466,1479,1774,209,384,863,939,213,355,861,938,215,20
20,0.7,1052,273,1131,1659,280,1069,1196,208,135,946,1115,214,351,1644,2165,208,259,1060,1135,213,243,1057,1136,209,30
20,0.6,1050,230,1197,1544,236,1110,1237,210,-1783958160254,890,1161,212,351,1539,2248,207,228,1101,1191,211,219,1096,1187,211,40
20,0.5,1010,311,1303,1595,429,850,1431,200,138,806,1185,205,548,1543,1890,203,462,837,1181,201,431,836,1061,201,50
20,0.4,1000,309,1224,1588,419,868,1341,198,139,818,957,202,506,1578,1830,201,359,844,943,199,421,848,943,200,60
20,0.3,1039,312,1205,1531,365,842,1241,207,143,812,1368,212,517,1522,1761,206,359,824,939,206,335,822,933,208,70
20,0.2,1071,331,1073,1587,337,972,1128,212,156,888,1257,218,487,1527,2026,214,331,934,1073,213,324,935,1067,213,80
20,0.1,984,421,1013,1467,423,878,1008,194,201,869,1204,202,632,1453,1787,196,418,862,946,197,413,863,945,195,90
20,0.0,1131,461,1049,1305,442,746,1008,227,445,1124,1353,232,594,1236,1474,223,438,714,827,225,438,711,822,224,100
