x_var,detock_throughput,detock_p50,detock_p95,detock_p99,detock_lsh_p50,detock_lsh_p95,detock_lsh_p99,detock_fsh_p50,detock_fsh_p95,detock_fsh_p99,detock_mh_p50,detock_mh_p95,detock_mh_p99,detock_aborts,detock_bytes,detock_cost,detock_input_throughput,janus_throughput,janus_p50,janus_p95,janus_p99,janus_lsh_p50,janus_lsh_p95,janus_lsh_p99,janus_fsh_p50,janus_fsh_p95,janus_fsh_p99,janus_mh_p50,janus_mh_p95,janus_mh_p99,janus_aborts,janus_bytes,janus_cost,janus_input_throughput,calvin_throughput,calvin_p50,calvin_p95,calvin_p99,calvin_lsh_p50,calvin_lsh_p95,calvin_lsh_p99,calvin_fsh_p50,calvin_fsh_p95,calvin_fsh_p99,calvin_mh_p50,calvin_mh_p95,calvin_mh_p99,calvin_aborts,calvin_bytes,calvin_cost,calvin_input_throughput,slog_throughput,slog_p50,slog_p95,slog_p99,slog_lsh_p50,slog_lsh_p95,slog_lsh_p99,slog_fsh_p50,slog_fsh_p95,slog_fsh_p99,slog_mh_p50,slog_mh_p95,slog_mh_p99,slog_aborts,slog_bytes,slog_cost,slog_input_throughput
900.0,21468.0,135.812,143.421,144.963,9.563,69.409,76.036,140.918,143.545,145.233,141.579,144.334,146.496,0.0,100826306.75,0.141,24560.0,10784.0,136.281,262.175,323.126,136.281,262.175,323.126,,,,,,,0.0,49766042.783,0.186,13354.0,57349.0,14.519,50.537,6339.641,14.519,50.537,6339.641,,,,,,,0.0,191057516.667,0.084,160422.0,20436.0,137.363,147.121,149.367,6.538,127.241,138.125,143.332,147.634,149.98,143.949,148.368,151.545,0.0,94982761.65,0.143,23297.0
1000.0,23608.0,135.705,143.508,145.07,14.988,69.687,76.278,140.947,143.671,145.331,141.635,144.439,147.0,0.0,111623777.133,0.138,27000.0,11596.0,137.465,266.066,367.987,137.465,266.066,367.987,,,,,,,0.0,53167501.583,0.179,14000.0,55080.0,22.073,197.6,375.792,22.073,197.6,375.792,,,,,,,0.0,190299798.033,0.088,178000.0,22444.0,137.802,147.381,150.14,6.699,128.345,138.568,143.506,147.885,152.351,144.197,148.771,154.152,0.0,100217571.85,0.135,25000.0
1250.0,28726.0,136.253,144.481,146.659,25.149,70.794,76.388,141.437,144.655,148.069,142.262,145.719,149.741,0.0,134841797.617,0.129,33750.0,14163.0,139.356,269.853,348.486,139.356,269.853,348.486,,,,,,,0.0,64452676.9,0.163,17500.0,55395.0,20.495,789.868,2246.657,20.495,789.868,2246.657,,,,,,,0.0,190400346.1,0.087,222500.0,27554.0,137.946,147.683,150.513,7.009,130.063,138.788,143.754,148.184,151.569,144.508,149.241,154.56,0.0,122402477.783,0.126,31250.0
1500.0,33650.0,137.239,145.19,148.03,33.282,72.031,77.135,142.18,145.29,150.285,143.085,146.537,151.329,0.0,156872194.267,0.123,40934.0,16290.0,150.655,290.897,381.305,150.655,290.897,381.305,,,,,,,0.0,72356005.583,0.151,22257.0,60213.0,24.113,635.739,5519.107,24.113,635.739,5519.107,,,,,,,0.0,201237100.833,0.084,267370.0,32518.0,138.505,148.268,152.667,7.526,131.495,139.487,144.17,148.937,159.021,144.92,150.107,161.602,0.0,144060065.5,0.12,38829.0
2000.0,42807.0,138.217,147.578,151.327,43.769,74.493,79.736,144.066,147.713,154.3,145.213,149.259,157.678,0.0,196935948.75,0.116,54000.0,19338.0,187.684,357.701,483.386,187.684,357.701,483.386,,,,,,,0.0,83840739.95,0.139,28000.0,54596.0,37.806,759.808,2508.062,37.806,759.808,2508.062,,,,,,,0.0,187905042.367,0.087,356000.0,40770.0,140.049,150.061,157.45,8.745,135.098,142.81,145.397,150.781,212.744,146.375,152.083,198.702,0.0,178683430.0,0.113,50000.0
2500.0,50022.0,140.803,155.228,202.176,52.331,81.861,124.967,146.344,167.442,226.815,147.736,169.399,225.395,0.0,228406032.417,0.112,67500.0,19485.0,231.454,510.171,832.618,231.454,510.171,832.618,,,,,,,0.0,85620514.217,0.14,35000.0,55638.0,67.29,502.064,3713.936,67.29,502.064,3713.936,,,,,,,0.0,191848792.333,0.087,445000.0,51131.0,141.669,151.765,156.558,10.08,137.495,143.811,147.018,152.393,163.188,148.123,153.929,165.633,0.0,222333803.05,0.107,62500.0
5000.0,49219.0,145.87,1055.964,6113.189,60.522,1007.002,6044.086,152.27,1114.171,6189.677,154.744,1093.418,6178.467,0.0,218322396.0,0.109,135000.0,21371.0,350.158,1137.774,2556.235,350.158,1137.774,2556.235,,,,,,,0.0,91070880.167,0.133,70000.0,58526.0,145.8,852.225,3006.292,145.8,852.225,3006.292,,,,,,,0.0,202588810.467,0.087,890000.0,49236.0,147.84,587.69,610.568,126.684,438.822,464.144,150.122,599.944,618.405,152.264,600.856,619.474,0.0,211285463.767,0.106,125000.0
10000.0,48205.0,259.692,2077.059,6192.83,244.93,1918.392,6118.595,361.271,2142.667,6205.666,364.333,2448.317,6295.233,0.0,214454478.317,0.11,272899.0,18947.0,676.761,3364.465,6182.012,676.761,3364.465,6182.012,,,,,,,0.0,82151397.517,0.14,148381.0,55804.0,203.693,1352.492,5084.016,203.693,1352.492,5084.016,,,,,,,0.0,191366552.183,0.087,1782471.0,55091.0,190.423,1286.043,9550.495,165.37,857.643,9368.639,229.341,1377.9,9655.125,232.237,1405.261,9809.06,0.0,225369298.933,0.1,258860.0
25000.0,47431.0,820.032,4124.481,7050.068,758.195,4075.725,6978.488,863.078,4160.804,7064.515,872.356,4196.266,7147.631,0.0,218929523.717,0.114,682247.0,19602.0,1172.399,9416.06,16047.67,1172.399,9416.06,16047.67,,,,,,,0.0,84979934.3,0.138,370954.0,61241.0,491.522,3080.682,11540.304,491.522,3080.682,11540.304,,,,,,,0.0,203567365.417,0.083,4456178.0,60322.0,584.32,2836.175,11301.759,562.266,2695.853,11290.714,608.545,3117.211,11422.427,608.22,2812.9,11266.067,0.0,245987504.683,0.098,647151.0
50000.0,42383.0,1605.743,15119.259,18181.892,1576.148,15046.636,18149.541,1650.853,15381.045,18237.8,1667.813,15311.026,18201.78,0.0,177010900.383,0.107,1364495.0,17423.0,4418.886,19874.183,32433.716,4418.886,19874.183,32433.716,,,,,,,0.0,74716884.683,0.144,741908.0,64445.0,1067.187,6028.386,16384.231,1067.187,6028.386,16384.231,,,,,,,0.0,213406501.0,0.082,8912356.0,61504.0,1470.032,5647.619,11133.456,1424.532,5580.722,11078.948,1512.8,5709.447,11175.213,1526.523,5738.712,11223.335,0.0,262977108.617,0.102,1294302.0
100000.0,54923.0,3622.546,10920.228,12892.372,3471.385,10898.353,12830.31,3735.116,10941.54,12948.125,3796.341,10924.739,12957.397,0.0,242841936.033,0.107,2700000.0,17090.0,13466.896,21894.808,23854.863,13466.896,21894.808,23854.863,,,,,,,0.0,69730751.383,0.141,1400000.0,72271.0,1916.783,13575.14,20840.479,1916.783,13575.14,20840.479,,,,,,,0.0,236087314.4,0.079,17800000.0,62564.0,3162.905,9467.897,12115.833,3099.996,9418.424,12005.572,3203.259,9576.419,12250.292,3210.11,9548.07,12183.034,0.0,262451824.733,0.1,2500000.0
250000.0,55094.0,8953.533,23640.783,24905.221,8913.027,23581.293,24847.653,8986.681,23703.901,24945.695,9043.665,23710.957,24962.759,0.0,223852277.1,0.1,6822475.0,8335.0,113518.056,123854.871,124814.115,113518.056,123854.871,124814.115,,,,,,,0.0,27636220.833,0.188,3709540.0,81370.0,4606.423,24161.279,32977.059,4606.423,24161.279,32977.059,,,,,,,0.0,255663016.45,0.075,44561784.0,65158.0,8630.335,12813.464,13680.657,8345.037,12755.331,13623.412,8799.463,12895.394,13734.41,8874.384,12931.121,13734.405,0.0,266981210.417,0.098,6471511.0
